completed_at,ticker,feature_set,model_type,window_size,hidden_size,learning_rate,dropout,max_epochs,patience,seed,best_epoch,stopped_epoch,best_val_loss,best_val_RMSE,best_val_MAE,best_val_MAPE,test_loss,test_RMSE,test_MAE,test_MAPE,train_samples,validation_samples,test_samples,input_shape,device,best_model_path,output_dir
2026-03-27T19:21:46,MSFT,baseline,lstm,20,128,0.0005,0.4,500,20,42,275,295,64.09932436261859,8.013542175292969,6.349298000335693,2.130923271179199,12656.05615234375,110.16990661621094,100.03060913085938,22.099292755126957,1948,216,548,"[20, 5]",cuda:0,_local/runs/grid_search_runs/20260327_192047_MSFT_baseline_lstm_w20_d0p4/best_model.pt,_local/runs/grid_search_runs/20260327_192047_MSFT_baseline_lstm_w20_d0p4
2026-03-27T19:17:13,MSFT,baseline,lstm,20,128,0.001,0.0,500,20,42,290,310,34.99549538748605,5.916956901550293,4.65329647064209,1.5867998600006104,9253.280771891275,93.97466278076172,82.66802978515625,18.109575271606445,1948,216,548,"[20, 5]",cuda:0,_local/runs/grid_search_runs/20260327_191613_MSFT_baseline_lstm_w20_d0p0/best_model.pt,_local/runs/grid_search_runs/20260327_191613_MSFT_baseline_lstm_w20_d0p0
2026-03-27T19:17:59,MSFT,baseline,lstm,20,128,0.001,0.2,500,20,42,212,232,45.8240225655692,6.733672142028809,5.202951431274414,1.7654578685760498,10805.235029432508,101.70570373535156,90.57701873779295,19.905515670776367,1948,216,548,"[20, 5]",cuda:0,_local/runs/grid_search_runs/20260327_191713_MSFT_baseline_lstm_w20_d0p2/best_model.pt,_local/runs/grid_search_runs/20260327_191713_MSFT_baseline_lstm_w20_d0p2
2026-03-27T19:18:38,MSFT,baseline,lstm,20,128,0.001,0.4,500,20,42,174,194,61.51460266113281,7.85211706161499,6.198694229125977,2.0887043476104736,14655.427761501736,118.7189483642578,105.80742645263672,23.27164649963379,1948,216,548,"[20, 5]",cuda:0,_local/runs/grid_search_runs/20260327_191759_MSFT_baseline_lstm_w20_d0p4/best_model.pt,_local/runs/grid_search_runs/20260327_191759_MSFT_baseline_lstm_w20_d0p4
2026-03-27T19:27:57,MSFT,baseline,lstm,60,32,0.0005,0.0,500,20,42,495,500,65.559631892613,8.147638320922852,6.3524603843688965,2.1051993370056152,14036.178636338977,116.09197235107422,106.1362075805664,23.493764877319336,1912,212,548,"[60, 5]",cuda:0,_local/runs/grid_search_runs/20260327_192618_MSFT_baseline_lstm_w60_d0p0/best_model.pt,_local/runs/grid_search_runs/20260327_192618_MSFT_baseline_lstm_w60_d0p0
2026-03-27T19:29:36,MSFT,baseline,lstm,60,32,0.0005,0.2,500,20,42,498,500,195.14239719935827,14.04012680053711,11.071577072143556,3.520521640777588,16977.983289930555,127.88690948486328,118.92135620117188,26.462182998657227,1912,212,548,"[60, 5]",cuda:0,_local/runs/grid_search_runs/20260327_192757_MSFT_baseline_lstm_w60_d0p2/best_model.pt,_local/runs/grid_search_runs/20260327_192757_MSFT_baseline_lstm_w60_d0p2
2026-03-27T19:31:18,MSFT,baseline,lstm,60,32,0.0005,0.4,500,20,42,492,500,447.9862289428711,21.089500427246094,17.064298629760742,5.372961521148682,20024.646470811636,139.0734405517578,130.87060546875,29.236099243164062,1912,212,548,"[60, 5]",cuda:0,_local/runs/grid_search_runs/20260327_192936_MSFT_baseline_lstm_w60_d0p4/best_model.pt,_local/runs/grid_search_runs/20260327_192936_MSFT_baseline_lstm_w60_d0p4
2026-03-27T19:23:23,MSFT,baseline,lstm,60,32,0.001,0.0,500,20,42,494,500,31.29711995806013,5.5947675704956055,4.405121326446533,1.488804817199707,10041.619037204318,97.85344696044922,86.07637023925781,18.854944229125977,1912,212,548,"[60, 5]",cuda:0,_local/runs/grid_search_runs/20260327_192146_MSFT_baseline_lstm_w60_d0p0/best_model.pt,_local/runs/grid_search_runs/20260327_192146_MSFT_baseline_lstm_w60_d0p0
2026-03-27T19:24:55,MSFT,baseline,lstm,60,32,0.001,0.2,500,20,42,446,466,53.13102013724191,7.330822944641113,5.798052310943604,1.9341859817504885,12253.61708577474,108.37411499023438,98.08056640625,21.64834976196289,1912,212,548,"[60, 5]",cuda:0,_local/runs/grid_search_runs/20260327_192323_MSFT_baseline_lstm_w60_d0p2/best_model.pt,_local/runs/grid_search_runs/20260327_192323_MSFT_baseline_lstm_w60_d0p2
2026-03-27T19:26:18,MSFT,baseline,lstm,60,32,0.001,0.4,500,20,42,404,424,124.21801703316824,11.195222854614258,8.662445068359375,2.7808618545532227,15113.61547173394,120.56175994873048,111.21935272216795,24.6871280670166,1912,212,548,"[60, 5]",cuda:0,_local/runs/grid_search_runs/20260327_192455_MSFT_baseline_lstm_w60_d0p4/best_model.pt,_local/runs/grid_search_runs/20260327_192455_MSFT_baseline_lstm_w60_d0p4
